field,Region,Farm_Type,soil_type,GIS_X_V2,GIS_Y_V2,avg.percent.C,avg.percent.h,avg.percent.n,Weight_Sand,Weight_Silt,Weight_Clay,pH,Olsen_P_mg_per_l,K_mg_per_l,Mg_mg_per_l,Isotope_delta_N,delta_PDB,Defunct_C.N
10a,Aberdeen,Organic,sandy clay loam,,,3.310174,0.697404133,0.297629133,NA,NA,NA,NA,NA,NA,NA,6.686484053,-27.54757894,16.61342197
10b,Aberdeen,Organic,sandy clay loam,,,2.527387,0.322456767,0.210561367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11a,Tayside,Conventional,sandy loam,,,2.250849,0.433931867,0.183684667,69,18,13,5.8,32.2,157,160,5.024188936,-26.69562032,14.0410435
11b,Tayside,Conventional,sandy loam,,,1.554722,0.349151967,0.1281419,56,29,15,5.9,42.8,81,158,4.554298337,-26.41679255,13.14842956
12a,Tayside,Conventional,sandy loam,,,1.953242,0.458188267,0.169111867,62,21,17,5.7,39.8,87,123,5.199343571,-27.294089,13.73658482
12b,Tayside,Conventional,sandy loam,,,2.752482,0.565767533,0.2292731,53,31,16,5.4,41,214,103,5.13051028,-27.12391005,13.9763714
13a,Tayside,Conventional,medium loam,,,2.358317333,0.4811056,0.2158403,60,21,19,5.6,44.4,133,75,5.939917628,-26.72061391,12.43100085
13b,Tayside,Conventional,medium loam,,,1.923765,0.405995533,0.156740233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14a,Tayside,Conventional,sandy loam,,,2.948457667,0.590277067,0.246733833,33,41,26,5.4,32.6,130,80,NA,NA,NA
14b,Tayside,Conventional,sandy loam,,,2.628677333,0.539594533,0.230088267,56,23,21,5.8,30.6,274,158,4.785223455,-24.71299043,21.97813273
15a,Tayside,Organic,sandy loam ,,,2.659865333,0.4433058,0.2255006,57,30,13,5.9,36,116,160,5.98556473,-27.32790173,13.42122431
15b,Tayside,Organic,clay loam,,,2.667273333,0.411381967,0.211769833,78,13,9,6.1,31.6,179,128,4.448357633,-27.88263391,13.12793961
16a,Tayside,Conventional,sandy loam,,,2.457282,0.4695678,0.201500033,45,29,26,6.1,68.2,165,243,3.973856569,-23.80336877,36.22550072
16b,Tayside,Conventional,sandy loam,,,2.736192,0.508366667,0.231391133,54,22,24,6.1,87.4,168,223,6.771763946,-26.03712562,12.88750795
17a,Fife,Conventional,Sandy loam,,,2.066229333,0.568442,0.192926767,48,30,22,5.9,41.8,166,207,6.977434679,-26.73657565,12.26841243
17b,Fife,Conventional,Sandy loam,,,2.708085667,0.743586967,0.2572755,54,26,20,5.9,39,371,262,5.63383981,-26.87439693,11.53502799
18b,Fife,Organic,medium loam,,,1.933703333,0.485523667,0.182273,NA,NA,NA,NA,NA,NA,NA,5.417902641,-26.86270719,12.27241311
19a,Fife,Conventional,sandy/stony loam,,,2.443487667,0.471418,0.206332633,54,23,23,5.1,52.4,183,62,NA,NA,NA
19b,Fife,Conventional,sandy/stony loam,,,2.542405667,0.545927767,0.2285635,68,16,16,5.6,40.4,272,57,5.760547386,-26.78920003,12.29686741
1a,Inverness,LEAF,medium loam,,,1.907591333,0.363142333,0.1673542,60,23,17,6.3,36.4,121,120,6.049770303,-27.30742677,12.98437174
1b,Inverness,LEAF,medium loam,,,1.650826667,0.430518067,0.1568883,41,34,25,5.8,30.2,133,140,6.198509263,-26.76714615,12.4191096
20a,Fife,Conventional,sandy loam,,,1.949392667,0.2907522,0.163049433,70,16,14,5.6,47.8,112,87,6.228885374,-27.19574779,13.5159447
20b,Fife,Conventional,clay loam,,,1.089879,0.236504233,0.097491873,47,29,24,5.8,27.8,70,175,4.026940499,-28.14936979,13.93886959
22a,Fife,LEAF,sandy clay loam,,,3.039152,0.774214167,0.248131433,44,32,24,5.9,27,177,261,5.332656491,-26.41063139,14.37122573
22b,Fife,LEAF,sandy clay loam,,,3.3631,0.762872933,0.283180233,53,26,21,5.9,32.4,224,318,5.81757729,-26.58531389,13.4524616
23a,Lothian,Organic,clay loam,,,3.184162667,0.685571833,0.2547496,37,38,25,5.8,26.2,120,120,6.252122516,-28.0139233,15.00792682
23b,Lothian,Organic,sanfy loam,,,3.697966667,0.637436433,0.3224029,70,19,11,5.7,28.2,144,111,5.430065136,-26.6209591,15.24363547
26a,Lothian,Organic,medium loam,,,1.863322,0.466195367,0.154695567,48,23,29,6.1,19.6,110,135,7.079704878,-25.65983616,13.68076476
26b,Lothian,Organic,medium loam,,,2.122760667,0.4699673,0.173819767,61,14,25,5.9,15,99,130,7.203464183,-25.81060785,12.99605784
28a,Aberdeenshire,Conventional,clay loam,,,3.917027333,0.835286667,0.297772233,44,36,20,5.5,46,118,152,5.580570445,-27.77609412,14.47716764
29a,Aberdeenshire,Conventional,medium loam,,,3.848350333,0.757424133,0.2784545,40,37,23,5.9,33.6,103,119,4.134280684,-27.74570986,15.13614988
29b,Aberdeenshire,Conventional,medium loam,,,3.589771,0.7567323,0.272997467,58,22,20,6,41,132,111,4.504519223,-27.58006687,15.07393672
2a,Inverness,Conventional,medium loam,,,1.873058333,0.344581467,0.1497603,66,19,15,5.5,35.4,163,121,5.547267627,-26.98038272,13.75980263
2b,Inverness,Conventional,medium loam,,,1.952515333,0.3459649,0.156576567,62,23,15,5.5,33.2,98,117,6.396343873,-27.2301121,14.14393313
30b,Aberdeenshire,Conventional,sandy clay loam,,,3.454153333,0.615533533,0.2799599,52,26,22,5.4,44.4,165,162,4.837352844,-27.75763978,14.94252294
31a,Aberdeenshire,Organic,NA,,,4.26903,0.799744767,0.299240633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31b,Aberdeenshire,Organic,clay loam,,,3.921643667,0.826055367,0.283122233,29,43,28,5.5,24.8,102,90,5.356591885,-27.86661074,15.80578906
32a,Aberdeenshire,Organic,sandy loam,,,4.678776333,0.694846933,0.332893133,58,29,13,5.5,78,65,96,6.768068018,-27.61208608,16.19208572
32b,Aberdeenshire,Organic,sandy loam,,,3.780362,0.61123,0.293644933,59,29,12,5.5,47.6,64,112,5.990280019,-28.07708139,14.5101039
33a,Aberdeenshire,Conventional,medium loam,,,2.737472,0.7929121,0.229189933,54,22,24,5.8,39.6,145,156,5.644157173,-27.75635646,13.01973086
33b,Aberdeenshire,Conventional,medium loam,,,4.195707,0.820921,0.327866767,42,34,24,5.5,54.2,177,151,4.657485806,-27.63037394,15.12615701
36a,Morayshire/Inverness,Organic,sandy loam,,,2.606009,0.328898567,0.186653,84,10,6,5.9,41,27,73,4.294041278,-27.61342774,15.68296187
36b,Morayshire/Inverness,Organic,sandy loam,,,2.220725,0.316112267,0.175523533,76,17,7,5.5,29.6,92,68,5.070725898,-27.711979,15.22819075
37a,Morayshire/Inverness,Conventional,sandy loam,,,1.972190333,0.240342933,0.145293,82,10,8,5.9,43.2,77,63,6.027009812,-26.97644569,14.76452883
